Date,Text,Time,categories_standard
"August 4, 2021","App/Ride  The scooter doesnt move, Ending a ride",0:00:00,App Issues
"August 4, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 4, 2021",App/Ride  The scooter doesnt move,0:00:21,App Issues
"August 4, 2021",App/Ride  The scooter doesnt move,0:00:31,App Issues
"August 4, 2021",Other,0:00:00,Other
"August 4, 2021",Other,0:00:00,Other
"August 4, 2021",Parking Concern Other,0:00:00,Incidents
"August 4, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 4, 2021","App/Ride  The scooter doesnt move, Signing in, Starting a ride, Ending a ride",0:00:00,App Issues
"August 4, 2021",Other,0:00:00,Other
"August 4, 2021","App/Ride  Starting a ride, The scooter doesnt move",0:00:00,App Issues
"August 4, 2021",Other,0:00:00,Other
"August 4, 2021",Parking Concern Other,0:00:00,Incidents
"August 4, 2021",Damaged vehicle Brakes,0:00:00,Damaged Vehicle Issues
"August 4, 2021",App/Ride  The scooter doesnt move,0:00:44,App Issues
"August 4, 2021",Billing  Improper charge,0:00:00,Payments
"August 4, 2021",App/Ride  Starting a ride,0:00:00,App Issues
"August 4, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 4, 2021",Other,0:00:01,Other
"August 4, 2021",Other,0:01:10,Other
"August 4, 2021",App/Ride  Other,0:00:12,App Issues
"August 4, 2021",Billing  Improper charge,0:01:33,Payments
"August 4, 2021",Damaged vehicle Throttle,0:00:01,Damaged Vehicle Issues
"August 4, 2021","Billing  Other, Improper charge",0:00:00,Payments
"August 5, 2021",Damaged vehicle Handlebars,0:00:00,Damaged Vehicle Issues
"August 5, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 5, 2021",Other,0:00:00,Other
"August 5, 2021",Billing  Improper charge,0:00:00,Payments
"August 5, 2021",Billing  Other,0:00:00,Payments
"August 5, 2021",Other,0:00:00,Other
"August 5, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 5, 2021",,0:12:00,Other
"August 5, 2021",Billing  Change payment method,0:00:13,Payments
"August 5, 2021",Billing  Change payment method,0:00:11,Payments
"August 5, 2021",Other,0:00:05,Other
"August 5, 2021","App/Ride  Ending a ride, Signing in",0:00:09,App Issues
"August 5, 2021",Damaged vehicle Throttle,0:00:20,Damaged Vehicle Issues
"August 5, 2021",Billing  Improper charge,0:00:00,Payments
"August 5, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 5, 2021",Other,0:00:00,Other
"August 5, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 5, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 5, 2021",Billing  Refund delayed,0:00:00,Payments
"August 5, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 5, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 5, 2021",Other,0:00:00,Other
"August 5, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 5, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 5, 2021",Other,0:00:00,Other
"August 5, 2021",Billing  Other,0:00:00,Payments
"August 5, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 5, 2021",App/Ride  Starting a ride,0:00:00,App Issues
"August 5, 2021",Damaged vehicle Other,0:00:00,Damaged Vehicle Issues
"August 5, 2021",Other,0:00:00,Other
"August 5, 2021",App/Ride  Signing in,0:00:00,App Issues
"August 5, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 5, 2021",App/Ride  The scooter doesnt move,0:00:33,App Issues
"August 5, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 5, 2021",App/Ride  Starting a ride,0:00:20,App Issues
"August 5, 2021",Damaged vehicle Throttle,0:00:21,Damaged Vehicle Issues
"August 5, 2021","Damaged vehicle Throttle, Brakes, Handlebars",0:00:00,Damaged Vehicle Issues
"August 5, 2021",App/Ride  Ending a ride,0:00:11,App Issues
"August 5, 2021",Other,0:00:00,Other
"August 5, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 5, 2021",Billing  Change payment method,0:00:13,Payments
"August 5, 2021","App/Ride  Starting a ride, The scooter doesnt move",0:00:01,App Issues
"August 5, 2021","App/Ride  Starting a ride, The scooter doesnt move",0:00:01,App Issues
"August 5, 2021",Other,0:00:12,Other
"August 5, 2021",App/Ride  Ending a ride,0:00:06,App Issues
"August 5, 2021",Billing  Refund delayed,0:00:01,Payments
"August 5, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 5, 2021",Damaged vehicle Brakes,0:00:04,Damaged Vehicle Issues
"August 6, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 6, 2021",Other,0:00:00,Other
"August 6, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 6, 2021",,0:00:01,Other
"August 6, 2021",Billing  Other,0:05:42,Payments
"August 6, 2021",Parking Concern Other,0:05:32,Incidents
"August 6, 2021",Other,0:20:14,Other
"August 6, 2021",Other,0:11:09,Other
"August 6, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 6, 2021","App/Ride  Ending a ride, Other",0:00:00,App Issues
"August 6, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
